ID,Temperature,Humidity,Pressure,Co2 Gas,PM2.5,PM10
0,23.00525734,33.06045426,972.7844332,626,3.8,8.8
1,22.98994236,33.09548316,972.8444715,627,3.8,8.9
2,23.00015235,33.08046737,972.8044464,627,3.8,8.9
3,22.98994236,33.10548665,972.732905,626,3.8,8.9
4,22.99504735,33.10548169,972.7686754,626,3.7,8.3
5,22.99504735,33.10047989,972.7965673,627,3.7,8.3
6,22.98994236,33.12549354,972.732905,627,3.7,8.3
7,22.98994236,33.13049525,972.8165799,626,3.7,8.3
8,22.99504735,33.14549582,972.7686754,626,3.7,8.2
9,22.99504735,33.14549582,972.8244592,626,3.7,8.2
10,22.99504735,33.12048705,972.7686754,626,3.7,8.2
11,22.99504735,33.15549928,972.7965673,627,3.8,8.3
12,22.99504735,33.14549582,972.7965673,626,3.8,8.0
13,22.99504735,33.15549928,972.8244592,626,3.8,8.0
14,22.98994236,33.15550367,972.7607966,626,3.7,7.3
15,22.98994236,33.1805119,972.7607966,627,3.6,7.0
16,22.99504735,33.18550949,972.7965673,627,3.6,7.0
17,22.98994236,33.20051836,972.7886882,626,3.6,6.8
18,22.98994236,33.20051836,972.7886882,626,3.5,6.8
19,22.98994236,33.20551995,972.7886882,626,3.5,6.8
20,22.99504735,33.21551943,972.8523511,626,3.5,7.4
21,22.98483737,33.21552681,972.7808092,627,3.5,7.5
22,22.98483737,33.22052832,972.8087006,626,3.5,7.5
23,22.98483737,33.22552983,972.8644835,626,3.5,6.9
24,22.97973237,33.23053484,972.8287126,626,3.6,7.0
25,22.98483737,33.25053727,972.7808092,626,3.6,7.0
26,22.97973237,33.25554195,972.745039,626,3.7,7.1
27,22.98483737,33.25553874,972.8087006,627,3.7,7.1
28,22.97462738,33.27054917,972.7371603,626,3.7,7.3
29,22.96952239,33.28055472,972.7013909,627,3.8,7.2
30,22.97973237,33.29055161,972.8008214,626,3.8,7.2
32,22.97973237,33.3005543,972.8008214,627,3.8,7.4
31,22.97462738,33.29555571,972.8487241,627,3.8,7.3
33,22.96952239,33.32056451,972.785063,627,3.8,7.4
34,22.97973237,33.3305622,972.8008214,627,3.8,7.5
35,22.97973237,33.3255609,972.7171479,627,3.8,7.5
36,22.96952239,33.33556806,972.8129537,626,3.8,7.9
37,22.97973237,33.35056732,972.8566038,626,3.8,8.0
38,22.97973237,33.35056732,972.7729302,626,3.8,8.0
39,22.97462738,33.33056455,972.7929422,626,3.8,7.8
40,22.97462738,33.34056701,972.7650512,627,3.8,7.8
41,22.97462738,33.32556331,972.7929422,627,3.8,7.8
42,22.97462738,33.34056701,972.7929422,627,3.8,8.0
43,22.96441739,33.34557255,972.7214029,626,3.8,8.0
44,22.97462738,33.35056944,972.7650512,627,3.8,8.0
45,22.97973237,33.36056984,972.7171479,627,3.8,8.1
46,22.97462738,33.37557539,972.7929422,627,3.9,8.2
47,22.9593124,33.39558477,972.7414144,627,3.9,8.2
49,22.96952239,33.4005827,972.7571723,626,3.9,8.0
48,22.96952239,33.39058053,972.8129537,627,3.9,8.0
50,22.96952239,33.43058903,972.8129537,627,3.9,8.0
51,22.9593124,33.43059139,972.7693047,627,3.9,7.5
52,22.96441739,33.42058825,972.7771838,627,3.9,7.5
53,22.96952239,33.4455921,972.8687352,626,3.9,7.5
54,22.96952239,33.45559411,972.7571723,627,3.8,7.4
55,22.96952239,33.46059511,972.785063,626,3.7,7.1
56,22.9593124,33.46559765,972.7414144,626,3.7,7.1
57,22.95420741,33.4605976,972.7335356,627,3.7,7.5
58,22.97462738,33.47559737,972.8208331,626,3.7,7.5
59,22.9593124,33.47059851,972.7135242,627,3.7,7.5
60,22.96441739,33.47559871,972.7492933,626,3.8,8.2
61,22.96441739,33.47559871,972.7492933,626,3.9,8.5
62,22.96441739,33.47559871,972.7771838,627,3.9,8.5
64,22.9593124,33.49560273,972.7971949,626,4.0,8.7
63,22.95420741,33.48060081,972.8172056,627,3.8,8.5
65,22.9593124,33.48060022,972.7971949,626,4.0,8.7
66,22.9593124,33.50560436,972.7971949,626,4.0,8.2
67,22.94910242,33.51060565,972.7814363,627,4.0,8.8
68,22.94910242,33.51560634,972.7535465,627,4.0,8.8
69,22.94910242,33.51060565,972.697767,626,4.0,9.0
70,22.94910242,33.52560769,972.7535465,626,3.9,8.9
71,22.94910242,33.53060835,972.7256567,626,3.9,8.9
72,22.94910242,33.53060835,972.8372159,626,3.9,8.7
73,22.94910242,33.54561029,972.7256567,627,3.9,8.6
74,22.94910242,33.55561155,972.7256567,626,3.9,8.6
75,22.93889243,33.57061246,972.7377884,626,3.9,8.5
76,22.94399742,33.55561127,972.773557,626,3.9,8.5
77,22.93889243,33.58561388,972.7098991,627,3.9,8.5
78,22.94910242,33.57061339,972.7535465,627,4.0,8.5
79,22.94399742,33.58561452,972.7456674,627,4.0,8.5
80,22.94910242,33.5956163,972.7814363,627,4.0,8.5
81,22.94399742,33.61061704,972.8014466,626,4.0,8.2
82,22.93889243,33.60561568,972.7656777,627,3.9,8.0
83,22.94399742,33.59561555,972.773557,627,3.9,8.0
84,22.93378744,33.60061442,972.8135768,628,3.9,8.1
85,22.94399742,33.60561655,972.773557,627,3.9,8.2
86,22.93889243,33.61061611,972.7935671,627,3.9,8.2
87,22.93889243,33.60561568,972.7656777,628,3.9,8.2
88,22.93378744,33.61061518,972.7856876,627,3.9,8.2
89,22.93889243,33.61561654,972.8214565,627,3.9,8.2
90,22.93889243,33.63061776,972.7935671,627,3.8,8.3
91,22.93378744,33.61061518,972.8135768,626,3.8,8.8
92,22.92357746,33.62061377,972.6862629,628,3.8,8.8
93,22.93378744,33.6306166,972.8135768,627,3.8,8.8
94,22.93378744,33.6206159,972.8135768,626,3.9,9.8
95,22.93889243,33.61061611,972.7935671,626,3.9,9.8
97,22.93378744,33.6206159,972.7856876,626,4.0,9.9
96,22.93378744,33.6306166,972.7299094,627,4.0,9.9
98,22.93889243,33.62561736,972.7377884,627,4.0,9.9
99,22.93378744,33.61061518,972.7856876,626,4.0,10.6
100,22.93889243,33.61061611,972.7656777,627,4.0,10.8
101,22.93378744,33.61061518,972.8135768,627,4.0,10.8
102,22.92868245,33.61061423,972.6941416,628,4.0,10.5
103,22.93889243,33.62561736,972.7935671,627,4.0,10.7
104,22.92357746,33.62061377,972.7978174,627,4.0,10.7
105,22.92868245,33.61561454,972.7499193,628,4.0,10.0
106,22.92868245,33.61561454,972.7778082,626,3.9,9.7
107,22.91847247,33.60561211,972.7341609,626,3.9,9.7
108,22.92357746,33.62061377,972.7978174,627,4.0,9.6
109,22.92357746,33.61561353,972.7978174,628,3.9,10.8
110,22.91847247,33.6206127,972.7341609,627,4.2,11.5
112,22.91847247,33.63561321,972.7620494,627,4.2,11.1
111,22.91847247,33.62561288,972.7620494,627,4.2,11.5
